"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Totaal met migratieachtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Westerse migratieachtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Marokko (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/(voormalige) Nederlandse Antillen, Aruba (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Suriname (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Turkije (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Overig niet-westerse migratieachtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Nederlandse achtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Totaal met migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Totaal niet-westerse migratieachtergrond (%)"
"2013";"Nederland";3543081;1576986;368838;145499;347631;395302;708825;78,9;21,1;9,4;11,7
"2014";"Nederland";3594744;1597160;374996;146855;348291;396414;731028;78,6;21,4;9,5;11,9
"2015";"Nederland";3665321;1626812;380755;148926;348662;396555;763611;78,3;21,7;9,6;12,1
"2016";"Nederland";3752291;1655699;385761;150981;349022;397471;813357;77,9;22,1;9,8;12,3
"2017";"Nederland";3862753;1689030;391088;153469;349978;400367;878821;77,4;22,6;9,9;12,7
"2018";"Nederland";3971859;1729016;396539;157114;351681;404459;933050;76,9;23,1;10,1;13,1
"2013";"Groningen (PV)";79938;44029;1701;5199;6254;4794;17961;86,3;13,7;7,6;6,2
"2014";"Groningen (PV)";81828;44689;1751;5297;6265;4745;19081;86;14;7,7;6,4
"2015";"Groningen (PV)";83785;44818;1760;5407;6261;4734;20805;85,7;14,3;7,7;6,7
"2016";"Groningen (PV)";85584;44996;1785;5534;6246;4654;22369;85,3;14,7;7,7;7
"2017";"Groningen (PV)";87671;45882;1783;5643;6252;4708;23403;85;15;7,9;7,2
"2018";"Groningen (PV)";89872;46458;1819;5794;6248;4772;24781;84,6;15,4;8;7,4
"2013";"Friesland (PV)";56466;32132;2147;2369;3054;1717;15047;91,3;8,7;5;3,8
"2014";"Friesland (PV)";57135;32062;2168;2437;3073;1731;15664;91,2;8,8;5;3,9
"2015";"Friesland (PV)";57869;32094;2167;2488;3051;1717;16352;91;9;5;4
"2016";"Friesland (PV)";59083;32224;2180;2516;3094;1736;17333;90,9;9,1;5;4,2
"2017";"Friesland (PV)";61466;32306;2229;2577;3102;1762;19490;90,5;9,5;5;4,5
"2018";"Friesland (PV)";63379;32501;2255;2750;3109;1853;20911;90,2;9,8;5;4,8
"2013";"Drenthe (PV)";44418;27655;1532;1289;1877;1795;10270;90,9;9,1;5,6;3,4
