"Soort misdrijf";"Perioden";"Regio's";"Geregisteerde misdrijven (aantal)"
"Totaal misdrijven";"2013";"Nederland";1078439
"Totaal misdrijven";"2014";"Nederland";1001181
"Totaal misdrijven";"2015";"Nederland";959962
"Totaal misdrijven";"2016";"Nederland";912940
"Totaal misdrijven";"2017";"Nederland";815525
"Totaal misdrijven";"2018";"Nederland";768099
"Totaal misdrijven";"2013";"Groningen (PV)";33753
"Totaal misdrijven";"2014";"Groningen (PV)";30161
"Totaal misdrijven";"2015";"Groningen (PV)";29793
"Totaal misdrijven";"2016";"Groningen (PV)";29302
"Totaal misdrijven";"2017";"Groningen (PV)";24992
"Totaal misdrijven";"2018";"Groningen (PV)";24054
"Totaal misdrijven";"2013";"Friesland (PV)";28288
"Totaal misdrijven";"2014";"Friesland (PV)";27223
"Totaal misdrijven";"2015";"Friesland (PV)";26327
"Totaal misdrijven";"2016";"Friesland (PV)";24377
"Totaal misdrijven";"2017";"Friesland (PV)";21374
"Totaal misdrijven";"2018";"Friesland (PV)";21705
"Totaal misdrijven";"2013";"Drenthe (PV)";22445
"Totaal misdrijven";"2014";"Drenthe (PV)";20949
"Totaal misdrijven";"2015";"Drenthe (PV)";19820
"Totaal misdrijven";"2016";"Drenthe (PV)";18416
"Totaal misdrijven";"2017";"Drenthe (PV)";16221
"Totaal misdrijven";"2018";"Drenthe (PV)";15392
"Totaal misdrijven";"2013";"Overijssel (PV)";59898
"Totaal misdrijven";"2014";"Overijssel (PV)";53081
"Totaal misdrijven";"2015";"Overijssel (PV)";50094
"Totaal misdrijven";"2016";"Overijssel (PV)";48109
"Totaal misdrijven";"2017";"Overijssel (PV)";42915
"Totaal misdrijven";"2018";"Overijssel (PV)";41586
"Totaal misdrijven";"2013";"Flevoland (PV)";25543
"Totaal misdrijven";"2014";"Flevoland (PV)";22952
"Totaal misdrijven";"2015";"Flevoland (PV)";21297
"Totaal misdrijven";"2016";"Flevoland (PV)";20565
"Totaal misdrijven";"2017";"Flevoland (PV)";18398
"Totaal misdrijven";"2018";"Flevoland (PV)";17885
"Totaal misdrijven";"2013";"Gelderland (PV)";110088
"Totaal misdrijven";"2014";"Gelderland (PV)";99651
"Totaal misdrijven";"2015";"Gelderland (PV)";93757
"Totaal misdrijven";"2016";"Gelderland (PV)";91494
"Totaal misdrijven";"2017";"Gelderland (PV)";80520
"Totaal misdrijven";"2018";"Gelderland (PV)";75488
"Totaal misdrijven";"2013";"Utrecht (PV)";77955
"Totaal misdrijven";"2014";"Utrecht (PV)";74473
"Totaal misdrijven";"2015";"Utrecht (PV)";73114
"Totaal misdrijven";"2016";"Utrecht (PV)";71111
"Totaal misdrijven";"2017";"Utrecht (PV)";65519
"Totaal misdrijven";"2018";"Utrecht (PV)";62431
"Totaal misdrijven";"2013";"Noord-Holland (PV)";214561
"Totaal misdrijven";"2014";"Noord-Holland (PV)";200038
"Totaal misdrijven";"2015";"Noord-Holland (PV)";195840
"Totaal misdrijven";"2016";"Noord-Holland (PV)";183777
"Totaal misdrijven";"2017";"Noord-Holland (PV)";165795
"Totaal misdrijven";"2018";"Noord-Holland (PV)";157269
"Totaal misdrijven";"2013";"Zuid-Holland (PV)";249250
"Totaal misdrijven";"2014";"Zuid-Holland (PV)";233306
"Totaal misdrijven";"2015";"Zuid-Holland (PV)";221015
"Totaal misdrijven";"2016";"Zuid-Holland (PV)";214520
"Totaal misdrijven";"2017";"Zuid-Holland (PV)";193459
"Totaal misdrijven";"2018";"Zuid-Holland (PV)";177635
"Totaal misdrijven";"2013";"Zeeland (PV)";18767
"Totaal misdrijven";"2014";"Zeeland (PV)";16819
"Totaal misdrijven";"2015";"Zeeland (PV)";16600
"Totaal misdrijven";"2016";"Zeeland (PV)";15354
"Totaal misdrijven";"2017";"Zeeland (PV)";13322
"Totaal misdrijven";"2018";"Zeeland (PV)";12489
"Totaal misdrijven";"2013";"Noord-Brabant (PV)";161652
"Totaal misdrijven";"2014";"Noord-Brabant (PV)";149495
"Totaal misdrijven";"2015";"Noord-Brabant (PV)";143408
"Totaal misdrijven";"2016";"Noord-Brabant (PV)";133072
"Totaal misdrijven";"2017";"Noord-Brabant (PV)";117032
"Totaal misdrijven";"2018";"Noord-Brabant (PV)";110462
"Totaal misdrijven";"2013";"Limburg (PV)";76209
"Totaal misdrijven";"2014";"Limburg (PV)";73016
"Totaal misdrijven";"2015";"Limburg (PV)";68147
"Totaal misdrijven";"2016";"Limburg (PV)";62227
"Totaal misdrijven";"2017";"Limburg (PV)";55848
"Totaal misdrijven";"2018";"Limburg (PV)";51547
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Nederland";122787
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Nederland";127284
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Nederland";123350
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Nederland";110795
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Nederland";91522
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Nederland";82120
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Groningen (PV)";5768
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Groningen (PV)";5064
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Groningen (PV)";5235
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Groningen (PV)";4807
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Groningen (PV)";3328
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Groningen (PV)";2991
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Friesland (PV)";3442
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Friesland (PV)";3623
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Friesland (PV)";3263
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Friesland (PV)";2478
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Friesland (PV)";1793
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Friesland (PV)";1790
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Drenthe (PV)";2347
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Drenthe (PV)";2337
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Drenthe (PV)";2300
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Drenthe (PV)";1849
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Drenthe (PV)";1319
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Drenthe (PV)";1148
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Overijssel (PV)";9515
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Overijssel (PV)";8979
